Business confidence index (BCI),
"Amplitude adjusted, Long-term average = 100",
Category,OECD
1/1/2017 0:00,100.6376
2/1/2017 0:00,100.7649
3/1/2017 0:00,100.8198
4/1/2017 0:00,100.8335
5/1/2017 0:00,100.9026
6/1/2017 0:00,101.0498
7/1/2017 0:00,101.1806
8/1/2017 0:00,101.3245
9/1/2017 0:00,101.4484
10/1/2017 0:00,101.4897
11/1/2017 0:00,101.5097
12/1/2017 0:00,101.5322
1/1/2018 0:00,101.5389
2/1/2018 0:00,101.5113
3/1/2018 0:00,101.4316
4/1/2018 0:00,101.3874
5/1/2018 0:00,101.3882
6/1/2018 0:00,101.3865
7/1/2018 0:00,101.3386
8/1/2018 0:00,101.2734
9/1/2018 0:00,101.1345
10/1/2018 0:00,100.9808
11/1/2018 0:00,100.8744
12/1/2018 0:00,100.7162
1/1/2019 0:00,100.5904
2/1/2019 0:00,100.4719
3/1/2019 0:00,100.3855
4/1/2019 0:00,100.2629
5/1/2019 0:00,100.12
6/1/2019 0:00,99.93854
7/1/2019 0:00,99.7338
8/1/2019 0:00,99.57517
9/1/2019 0:00,99.45573
10/1/2019 0:00,99.46022
11/1/2019 0:00,99.52881
12/1/2019 0:00,99.57742
1/1/2020 0:00,99.51305
2/1/2020 0:00,99.03131
3/1/2020 0:00,98.0087
4/1/2020 0:00,96.88055
5/1/2020 0:00,96.75546
6/1/2020 0:00,97.50326
7/1/2020 0:00,98.40355
8/1/2020 0:00,99.08377
9/1/2020 0:00,99.53593
10/1/2020 0:00,99.85733
11/1/2020 0:00,100.0186
12/1/2020 0:00,100.2317
1/1/2021 0:00,100.457
2/1/2021 0:00,100.7871
3/1/2021 0:00,101.177
4/1/2021 0:00,101.4687
5/1/2021 0:00,101.7133
6/1/2021 0:00,101.8844
7/1/2021 0:00,101.9705
8/1/2021 0:00,101.9961
9/1/2021 0:00,102.034
10/1/2021 0:00,102.0603
11/1/2021 0:00,102.06
12/1/2021 0:00,101.9672
1/1/2022 0:00,101.8265
2/1/2022 0:00,101.674
3/1/2022 0:00,101.4646
4/1/2022 0:00,101.2731
5/1/2022 0:00,101.0834
6/1/2022 0:00,100.8
7/1/2022 0:00,100.4791
8/1/2022 0:00,100.1835
9/1/2022 0:00,99.91798
